date,task_title,completed,category,priority,time_spent_minutes,difficulty,notes
2024-11-07,"Complete lab work",true,academic,high,150,hard,"Electronics lab - challenging"
2024-11-07,"Exercise routine",false,health,medium,0,medium,"Skipped again - bad habit"
2024-11-07,"Read tech articles",true,skill,low,30,easy,"Read about AI trends"
2024-11-08,"Morning routine",true,productivity,medium,30,easy,"Wake up, shower, breakfast"
2024-11-08,"Attend all lectures",true,academic,high,240,easy,"Good focus today"
2024-11-08,"Work on personal project",true,skill,high,90,medium,"Started building a todo app"
2024-11-08,"Network with seniors",false,social,medium,0,medium,"Too nervous to approach"
2024-11-08,"Healthy dinner",true,health,low,0,easy,"Cooked instead of ordering"
2024-11-09,"Submit project milestone",true,academic,high,60,medium,"Group project on track"
2024-11-09,"Learn database concepts",true,skill,medium,90,medium,"SQL tutorials online"
2024-11-09,"Call mentor",false,career,medium,0,easy,"Kept postponing the call"
2024-11-09,"Organize digital files",true,productivity,low,45,easy,"Cleaned up computer folders"
2024-11-09,"Evening walk",true,health,low,30,easy,"First outdoor activity this week"
2024-11-10,"Weekend project work",true,skill,high,180,hard,"Added features to todo app"
2024-11-10,"Laundry and cleaning",true,personal,medium,90,easy,"Productive Saturday"
2024-11-10,"Video call family",true,personal,medium,45,easy,"Weekly family check-in"
2024-11-10,"Plan study schedule",true,productivity,medium,30,easy,"Using time blocking method"
2024-11-10,"Read fiction book",false,hobby,low,0,easy,"Too tired after coding"
2024-11-11,"Sleep 8 hours",true,health,high,480,easy,"Finally got proper sleep"
2024-11-11,"Morning workout",true,health,medium,30,medium,"Basic bodyweight exercises"
2024-11-11,"Complete assignment early",true,academic,high,120,medium,"Data structures project"
2024-11-11,"Learn new tech skill",true,skill,medium,60,medium,"React hooks tutorial"
2024-11-11,"Social activity",true,social,low,120,easy,"Played games with roommates"
2024-11-12,"Attend workshop",true,career,high,180,medium,"Industry expert session"
2024-11-12,"Practice coding interview",true,skill,high,90,hard,"Mock interview questions"
2024-11-12,"Complete lab report",true,academic,high,75,medium,"Submitted on time"
2024-11-12,"Meal planning",true,health,medium,20,easy,"Planned healthy meals"
2024-11-12,"Journal writing",false,wellness,low,0,easy,"Didn't make time for reflection"
2024-11-13,"Morning classes",true,academic,high,180,easy,"Algorithms and OS classes"
2024-11-13,"Library study session",true,academic,medium,150,medium,"Focused study environment"
2024-11-13,"Learn Docker basics",true,skill,medium,75,medium,"Containerization concepts"
2024-11-13,"Connect with classmate",true,social,low,30,easy,"Study group formation"
2024-11-13,"Evening exercise",true,health,medium,45,medium,"Gym session with friend"
2024-11-14,"Project presentation prep",true,academic,high,120,hard,"Preparing slides and demo"
2024-11-14,"Practice presentation",true,skill,medium,60,medium,"Rehearsed with roommate"
2024-11-14,"Complete pending readings",true,academic,medium,90,medium,"Course material catch-up"
2024-11-14,"Update resume",true,career,medium,45,medium,"Added recent projects"
2024-11-14,"Healthy cooking",true,health,low,30,easy,"Made pasta with vegetables"
2024-11-15,"Give project presentation",true,academic,high,30,hard,"Nervous but completed successfully"
2024-11-15,"Attend career fair",true,career,high,240,medium,"Talked to 5 companies"
2024-11-15,"Celebrate small win",true,personal,low,60,easy,"Treated myself to ice cream"
2024-11-15,"Reflect on progress",true,wellness,medium,20,easy,"Noticed improvement in confidence"
2024-11-15,"Plan weekend goals",true,productivity,low,15,easy,"Setting realistic targets"
2024-11-16,"Sleep in (weekend)",true,health,low,600,easy,"Much needed rest"
2024-11-16,"Work on personal project",true,skill,high,180,medium,"Added user authentication"
2024-11-16,"Meet with study group",true,social,medium,120,medium,"Collaborative learning session"
2024-11-16,"Research internships",true,career,high,90,medium,"Applied to 3 positions"
2024-11-16,"Watch tech talk",true,skill,low,60,easy,"Google I/O highlights"
2024-11-17,"Morning meditation",true,wellness,medium,15,easy,"Started mindfulness practice"
2024-11-17,"Batch cooking",true,health,medium,120,medium,"Prepared meals for the week"
2024-11-17,"Code review practice",true,skill,medium,75,medium,"Reviewed open source projects"
2024-11-17,"Call home",true,personal,low,30,easy,"Updated family on progress"
2024-11-17,"Plan next week",true,productivity,medium,25,easy,"Better time management"
2024-11-18,"Monday motivation",true,wellness,low,10,easy,"Positive affirmations"
2024-11-18,"Attend all classes",true,academic,high,270,easy,"Perfect attendance"
2024-11-18,"Complete assignments",true,academic,high,150,hard,"Math and programming tasks"
2024-11-18,"Gym workout",true,health,medium,60,medium,"Building exercise habit"
2024-11-18,"Read tech blog",true,skill,low,30,easy,"Software engineering articles"
2024-11-19,"Morning run",true,health,medium,30,medium,"Improving fitness slowly"
2024-11-19,"Lab work completion",true,academic,high,180,hard,"Circuit analysis lab"
2024-11-19,"Networking event",true,career,medium,120,medium,"Met alumni from tech companies"
2024-11-19,"Study group session",true,social,medium,90,medium,"Collaborative problem solving"
2024-11-19,"Healthy dinner prep",true,health,low,25,easy,"Meal planning paying off"
2024-11-20,"Project milestone",true,academic,high,120,medium,"Team project progress review"
2024-11-20,"Learn system design",true,skill,high,90,hard,"Database design patterns"
2024-11-20,"Practice algorithm",true,skill,high,75,hard,"Dynamic programming problems"
2024-11-20,"Update LinkedIn",true,career,medium,30,easy,"Added recent accomplishments"
2024-11-20,"Evening relaxation",true,wellness,low,45,easy,"Music and light reading"
2024-11-21,"Final exam prep",true,academic,high,240,hard,"Comprehensive review session"
2024-11-21,"Mock interview",true,career,high,60,hard,"Technical interview practice"
2024-11-21,"Complete side project",true,skill,medium,90,medium,"Deployed todo app online"
2024-11-21,"Celebrate progress",true,personal,low,30,easy,"Acknowledged growth"
2024-11-21,"Social time",true,social,medium,90,easy,"Movie night with friends"
2024-11-22,"Morning routine",true,productivity,medium,45,easy,"Consistent wake-up time"
2024-11-22,"Focused study",true,academic,high,300,hard,"Deep work session"
2024-11-22,"Exercise break",true,health,medium,30,medium,"Short workout between studies"
2024-11-22,"Healthy meals",true,health,medium,0,easy,"Following meal plan"
2024-11-22,"Progress journal",true,wellness,medium,20,easy,"Reflecting on improvements"
2024-11-23,"Weekend project",true,skill,high,200,medium,"Started new React project"
2024-11-23,"Clean and organize",true,personal,medium,90,easy,"Maintaining tidy space"
2024-11-23,"Learn new framework",true,skill,medium,120,medium,"Next.js basics tutorial"
2024-11-23,"Video call friends",true,social,medium,75,easy,"Maintaining relationships"
2024-11-23,"Plan upcoming week",true,productivity,medium,30,easy,"Strategic planning"
2024-11-24,"Quality sleep",true,health,high,480,easy,"Good sleep hygiene"
2024-11-24,"Morning workout",true,health,medium,45,medium,"Building strength"
2024-11-24,"Study advanced topics",true,academic,medium,180,hard,"Machine learning basics"
2024-11-24,"Work on portfolio",true,career,high,90,medium,"Showcasing projects online"
2024-11-24,"Relaxation time",true,wellness,low,60,easy,"Balanced lifestyle"
2024-11-25,"Productive Monday",true,productivity,high,30,easy,"Strong start to week"
2024-11-25,"All lectures attended",true,academic,high,240,easy,"Engaged participation"
2024-11-25,"Coding practice",true,skill,high,120,hard,"Advanced algorithm problems"
2024-11-25,"Networking coffee",true,career,medium,60,medium,"Met senior developer"
2024-11-25,"Evening exercise",true,health,medium,40,medium,"Consistency building"
2024-11-26,"Technical workshop",true,career,high,180,medium,"Cloud computing session"
2024-11-26,"Group project work",true,academic,high,150,medium,"Leading team discussions"
2024-11-26,"Learn DevOps tools",true,skill,medium,90,medium,"CI/CD pipeline basics"
2024-11-26,"Mentor meeting",true,career,high,45,medium,"Career guidance session"
2024-11-26,"Healthy lifestyle",true,health,medium,0,easy,"Maintaining good habits"
2024-11-27,"Presentation skills",true,skill,medium,60,medium,"Practicing public speaking"
2024-11-27,"Complete coursework",true,academic,high,200,hard,"Multiple assignments"
2024-11-27,"Open source contribution",true,skill,high,90,hard,"First GitHub contribution"
2024-11-27,"Study group leadership",true,social,medium,75,medium,"Helping classmates"
2024-11-27,"Self-care routine",true,wellness,medium,30,easy,"Mental health priority"
2024-11-28,"Interview preparation",true,career,high,120,hard,"Technical and behavioral prep"
2024-11-28,"Academic excellence",true,academic,high,180,medium,"Maintaining high standards"
2024-11-28,"Skill development",true,skill,medium,105,medium,"Full-stack development"
2024-11-28,"Networking growth",true,career,medium,45,medium,"Building professional network"
2024-11-28,"Physical fitness",true,health,medium,50,medium,"Regular exercise routine"
2024-11-29,"Leadership activity",true,career,medium,90,medium,"Leading study group project"
2024-11-29,"Advanced learning",true,skill,high,150,hard,"Microservices architecture"
2024-11-29,"Academic project",true,academic,high,120,medium,"Final semester project"
2024-11-29,"Social responsibility",true,social,medium,60,medium,"Helping junior students"
2024-11-29,"Personal growth",true,wellness,medium,25,easy,"Self-reflection and goals"
2024-11-30,"Month-end review",true,productivity,high,45,medium,"Analyzing progress and planning"
2024-11-30,"Celebration",true,personal,medium,90,easy,"Acknowledging transformation"
2024-11-30,"Future planning",true,career,high,60,medium,"Setting December goals"
2024-11-30,"Gratitude practice",true,wellness,medium,15,easy,"Appreciating growth journey"
2024-11-30,"Preparation for tomorrow",true,productivity,medium,20,easy,"Ready for continued success"
